C copy string: r=c:ab;a,b,cr,d;a,b,c,dr; ineq: base20.txt
I    5.08] Elapsed: 5.08, vertices: 233, facets final: 24, pending: 15135, pool: 100
I   10.08] Elapsed: 10.08, vertices: 320, facets final: 40, pending: 20916, pool: 100
I   15.18] Elapsed: 15.18, vertices: 395, facets final: 57, pending: 24980, pool: 100
I   20.29] Elapsed: 20.29, vertices: 457, facets final: 77, pending: 28476, pool: 100
I   25.31] Elapsed: 25.31, vertices: 508, facets final: 87, pending: 31541, pool: 100
I   30.41] Elapsed: 30.41, vertices: 552, facets final: 96, pending: 33661, pool: 100
I   35.43] Elapsed: 35.43, vertices: 594, facets final: 110, pending: 35002, pool: 99
I   40.52] Elapsed: 40.52, vertices: 635, facets final: 130, pending: 37071, pool: 100
I   45.69] Elapsed: 45.69, vertices: 669, facets final: 139, pending: 38423, pool: 100
I   50.74] Elapsed: 50.74, vertices: 708, facets final: 155, pending: 40062, pool: 100
I   55.77] Elapsed: 55.77, vertices: 742, facets final: 170, pending: 41472, pool: 100
I   60.98] Elapsed: 1:01, vertices: 783, facets final: 186, pending: 42875, pool: 100
I   66.24] Elapsed: 1:06, vertices: 814, facets final: 194, pending: 44507, pool: 100
I   71.32] Elapsed: 1:11, vertices: 848, facets final: 212, pending: 45862, pool: 100
I   76.67] Elapsed: 1:17, vertices: 878, facets final: 223, pending: 47005, pool: 100
I   81.77] Elapsed: 1:22, vertices: 904, facets final: 240, pending: 48352, pool: 100
I   86.81] Elapsed: 1:27, vertices: 933, facets final: 252, pending: 50030, pool: 100
I   91.90] Elapsed: 1:32, vertices: 962, facets final: 266, pending: 51246, pool: 100
I   96.97] Elapsed: 1:37, vertices: 992, facets final: 276, pending: 52054, pool: 100
I  102.43] Elapsed: 1:42, vertices: 1016, facets final: 291, pending: 52554, pool: 100
I  107.46] Elapsed: 1:47, vertices: 1036, facets final: 308, pending: 53211, pool: 100
I  112.48] Elapsed: 1:52, vertices: 1059, facets final: 322, pending: 54030, pool: 100
I  117.60] Elapsed: 1:58, vertices: 1074, facets final: 329, pending: 54578, pool: 100
I  122.81] Elapsed: 2:03, vertices: 1095, facets final: 344, pending: 54905, pool: 100
I  127.84] Elapsed: 2:08, vertices: 1118, facets final: 353, pending: 55691, pool: 100
I  132.94] Elapsed: 2:13, vertices: 1139, facets final: 363, pending: 56679, pool: 100
I  138.17] Elapsed: 2:18, vertices: 1164, facets final: 374, pending: 57605, pool: 100
I  143.31] Elapsed: 2:23, vertices: 1187, facets final: 388, pending: 58420, pool: 100
I  148.50] Elapsed: 2:29, vertices: 1208, facets final: 397, pending: 59620, pool: 100
I  153.79] Elapsed: 2:34, vertices: 1227, facets final: 401, pending: 60231, pool: 100
I  158.89] Elapsed: 2:39, vertices: 1244, facets final: 411, pending: 61189, pool: 100
I  164.15] Elapsed: 2:44, vertices: 1259, facets final: 421, pending: 62087, pool: 100
I  169.27] Elapsed: 2:49, vertices: 1278, facets final: 431, pending: 62940, pool: 100
I  174.38] Elapsed: 2:54, vertices: 1296, facets final: 445, pending: 63318, pool: 100
I  179.61] Elapsed: 3:00, vertices: 1312, facets final: 458, pending: 64354, pool: 100
I  185.49] Elapsed: 3:05, vertices: 1328, facets final: 467, pending: 64703, pool: 100
I  190.61] Elapsed: 3:11, vertices: 1348, facets final: 478, pending: 65648, pool: 100
I  195.84] Elapsed: 3:16, vertices: 1366, facets final: 484, pending: 65833, pool: 100
I  201.06] Elapsed: 3:21, vertices: 1387, facets final: 489, pending: 66423, pool: 100
I  206.06] Elapsed: 3:26, vertices: 1405, facets final: 495, pending: 67038, pool: 100
I  211.06] Elapsed: 3:31, vertices: 1419, facets final: 504, pending: 66891, pool: 100
I  216.13] Elapsed: 3:36, vertices: 1436, facets final: 516, pending: 67406, pool: 100
I  221.41] Elapsed: 3:41, vertices: 1454, facets final: 525, pending: 68292, pool: 100
I  226.47] Elapsed: 3:46, vertices: 1475, facets final: 535, pending: 69047, pool: 100
I  231.66] Elapsed: 3:52, vertices: 1488, facets final: 541, pending: 69705, pool: 100
I  236.81] Elapsed: 3:57, vertices: 1506, facets final: 550, pending: 70289, pool: 100
