C copy string: rs=cd:ab;tu=cr:ab;vw=(ru)t:ad
C MOLP problem=10-707-9472-b.vlp, minimize
C rows=707, columns=9472, objectives=10
I   14.96] Elapsed: 14.96, vertices: 1, facets final: 0, pending: 0
I   20.29] Elapsed: 20.29, vertices: 1, facets final: 0, pending: 10
I   27.50] Elapsed: 27.50, vertices: 2, facets final: 0, pending: 19
I   34.00] Elapsed: 34.00, vertices: 3, facets final: 3, pending: 22
I   41.53] Elapsed: 41.53, vertices: 3, facets final: 5, pending: 20
I   48.05] Elapsed: 48.05, vertices: 3, facets final: 5, pending: 20
I   55.27] Elapsed: 55.27, vertices: 4, facets final: 6, pending: 25
I   67.03] Elapsed: 1:07, vertices: 5, facets final: 6, pending: 29
I   73.34] Elapsed: 1:13, vertices: 7, facets final: 6, pending: 38
I   78.82] Elapsed: 1:19, vertices: 8, facets final: 7, pending: 49
I   86.30] Elapsed: 1:26, vertices: 8, facets final: 8, pending: 48
I   95.75] Elapsed: 1:36, vertices: 10, facets final: 8, pending: 71
I  108.67] Elapsed: 1:49, vertices: 11, facets final: 10, pending: 62
I  113.80] Elapsed: 1:54, vertices: 11, facets final: 10, pending: 62
I  120.94] Elapsed: 2:01, vertices: 12, facets final: 13, pending: 63
I  127.54] Elapsed: 2:08, vertices: 13, facets final: 14, pending: 74
I  135.43] Elapsed: 2:15, vertices: 13, facets final: 15, pending: 73
I  141.98] Elapsed: 2:22, vertices: 14, facets final: 16, pending: 75
I  148.23] Elapsed: 2:28, vertices: 15, facets final: 18, pending: 67
I  154.83] Elapsed: 2:35, vertices: 15, facets final: 19, pending: 66
I  163.56] Elapsed: 2:44, vertices: 15, facets final: 21, pending: 64
I  173.01] Elapsed: 2:53, vertices: 15, facets final: 23, pending: 62
I  180.24] Elapsed: 3:00, vertices: 15, facets final: 24, pending: 61
I  191.14] Elapsed: 3:11, vertices: 17, facets final: 25, pending: 79
I  199.89] Elapsed: 3:20, vertices: 17, facets final: 27, pending: 77
I  205.12] Elapsed: 3:25, vertices: 17, facets final: 28, pending: 76
I  215.72] Elapsed: 3:36, vertices: 17, facets final: 30, pending: 74
I  222.44] Elapsed: 3:42, vertices: 18, facets final: 31, pending: 77
I  230.10] Elapsed: 3:50, vertices: 18, facets final: 33, pending: 75
I  237.37] Elapsed: 3:57, vertices: 18, facets final: 34, pending: 74
I  244.79] Elapsed: 4:05, vertices: 19, facets final: 36, pending: 71
I  252.53] Elapsed: 4:13, vertices: 19, facets final: 37, pending: 70
I  258.02] Elapsed: 4:18, vertices: 21, facets final: 37, pending: 73
I  267.13] Elapsed: 4:27, vertices: 22, facets final: 40, pending: 69
I  272.24] Elapsed: 4:32, vertices: 22, facets final: 42, pending: 67
I  282.73] Elapsed: 4:43, vertices: 22, facets final: 45, pending: 64
I  287.81] Elapsed: 4:48, vertices: 23, facets final: 45, pending: 62
I  295.12] Elapsed: 4:55, vertices: 25, facets final: 46, pending: 69
I  306.15] Elapsed: 5:06, vertices: 26, facets final: 47, pending: 68
I  311.98] Elapsed: 5:12, vertices: 26, facets final: 48, pending: 67
I  321.14] Elapsed: 5:21, vertices: 26, facets final: 50, pending: 65
I  327.19] Elapsed: 5:27, vertices: 27, facets final: 50, pending: 78
I  333.65] Elapsed: 5:34, vertices: 28, facets final: 52, pending: 72
I  339.62] Elapsed: 5:40, vertices: 30, facets final: 54, pending: 83
I  348.01] Elapsed: 5:48, vertices: 31, facets final: 56, pending: 75
I  353.85] Elapsed: 5:54, vertices: 31, facets final: 57, pending: 74
I  361.59] Elapsed: 6:02, vertices: 31, facets final: 59, pending: 72
I  370.17] Elapsed: 6:10, vertices: 33, facets final: 61, pending: 80
I  376.81] Elapsed: 6:17, vertices: 33, facets final: 61, pending: 80
I  386.09] Elapsed: 6:26, vertices: 34, facets final: 63, pending: 83
I  393.95] Elapsed: 6:34, vertices: 35, facets final: 64, pending: 78
I  404.59] Elapsed: 6:45, vertices: 35, facets final: 66, pending: 76
I  414.53] Elapsed: 6:55, vertices: 35, facets final: 69, pending: 73
I  422.31] Elapsed: 7:02, vertices: 36, facets final: 69, pending: 80
