C maximal rule for r=c:ab;s=b:adr; rs,bs,cs,ds
C MOLP problem=22-43-213-c.vlp, minimize
C rows=43, columns=213, objectives=22
I    5.77] Elapsed: 5.77, vertices: 26, facets final: 18, pending: 26996, eq: 5134, out: 10477, in: 8541, pool: 99
I   11.85] Elapsed: 11.85, vertices: 29, facets final: 20, pending: 39408, eq: 3463, out: 8891, in: 17987, pool: 113
I   19.73] Elapsed: 19.73, vertices: 31, facets final: 23, pending: 36906, eq: 6667, out: 13180, in: 10786, pool: 115
I   32.00] Elapsed: 32.00, vertices: 33, facets final: 25, pending: 73714, eq: 3373, out: 13577, in: 32844, pool: 120
I   44.97] Elapsed: 44.97, vertices: 34, facets final: 25, pending: 77411, eq: 9254, out: 19692, in: 23389, pool: 122
I   59.18] Elapsed: 59.18, vertices: 35, facets final: 27, pending: 81488, eq: 10032, out: 19483, in: 23562, pool: 123
I   73.47] Elapsed: 1:13, vertices: 36, facets final: 27, pending: 85481, eq: 8731, out: 16889, in: 20882, pool: 128
I   88.91] Elapsed: 1:29, vertices: 37, facets final: 28, pending: 71812, eq: 8325, out: 18461, in: 4793, pool: 132
I   97.85] Elapsed: 1:38, vertices: 38, facets final: 28, pending: 65133, eq: 15683, out: 14789, in: 8110, pool: 135
I  107.50] Elapsed: 1:48, vertices: 39, facets final: 28, pending: 54632, eq: 8821, out: 16735, in: 6234, pool: 135
I  114.52] Elapsed: 1:55, vertices: 40, facets final: 28, pending: 44777, eq: 6913, out: 12874, in: 3019, pool: 136
I  121.04] Elapsed: 2:01, vertices: 41, facets final: 28, pending: 68975, eq: 1523, out: 9665, in: 33863, pool: 136
I  134.14] Elapsed: 2:14, vertices: 42, facets final: 29, pending: 56011, eq: 7950, out: 17710, in: 4747, pool: 136
I  143.83] Elapsed: 2:24, vertices: 43, facets final: 29, pending: 72413, eq: 4538, out: 12814, in: 29216, pool: 137
I  158.55] Elapsed: 2:39, vertices: 44, facets final: 30, pending: 70742, eq: 5655, out: 15644, in: 13974, pool: 138
I  171.26] Elapsed: 2:51, vertices: 45, facets final: 31, pending: 70658, eq: 7226, out: 14392, in: 14309, pool: 138
I  184.92] Elapsed: 3:05, vertices: 46, facets final: 31, pending: 78113, eq: 5218, out: 13356, in: 20811, pool: 137
I  199.60] Elapsed: 3:20, vertices: 47, facets final: 31, pending: 71750, eq: 10285, out: 15341, in: 8978, pool: 139
I  213.90] Elapsed: 3:34, vertices: 48, facets final: 31, pending: 89029, eq: 4335, out: 13243, in: 30522, pool: 143
I  234.67] Elapsed: 3:55, vertices: 49, facets final: 32, pending: 87086, eq: 8940, out: 18318, in: 16376, pool: 143
I  256.57] Elapsed: 4:17, vertices: 50, facets final: 32, pending: 78151, eq: 7789, out: 19395, in: 10460, pool: 144
I  273.77] Elapsed: 4:34, vertices: 51, facets final: 32, pending: 84410, eq: 7444, out: 15215, in: 21474, pool: 145
I  291.71] Elapsed: 4:52, vertices: 52, facets final: 32, pending: 91493, eq: 5843, out: 13650, in: 20733, pool: 145
I  312.40] Elapsed: 5:12, vertices: 53, facets final: 32, pending: 93045, eq: 7473, out: 15111, in: 16663, pool: 144
I  336.05] Elapsed: 5:36, vertices: 54, facets final: 32, pending: 76444, eq: 9923, out: 19857, in: 3256, pool: 146
I  351.29] Elapsed: 5:51, vertices: 55, facets final: 32, pending: 68482, eq: 6677, out: 13877, in: 5915, pool: 146
I  362.94] Elapsed: 6:03, vertices: 56, facets final: 32, pending: 61143, eq: 5593, out: 12044, in: 4705, pool: 147
I  372.80] Elapsed: 6:13, vertices: 57, facets final: 32, pending: 57547, eq: 6112, out: 10377, in: 6781, pool: 147
I  379.96] Elapsed: 6:20, vertices: 58, facets final: 32, pending: 55363, eq: 7012, out: 8187, in: 6003, pool: 148
I  386.33] Elapsed: 6:26, vertices: 59, facets final: 32, pending: 50238, eq: 6043, out: 8087, in: 2962, pool: 147
I  391.53] Elapsed: 6:32, vertices: 60, facets final: 32, pending: 45467, eq: 6472, out: 6889, in: 2118, pool: 147
I  400.35] Elapsed: 6:40, vertices: 62, facets final: 33, pending: 45826, eq: 6623, out: 6248, in: 2547, pool: 145
I  410.56] Elapsed: 6:51, vertices: 64, facets final: 33, pending: 55961, eq: 2371, out: 5891, in: 11637, pool: 145
I  417.45] Elapsed: 6:57, vertices: 65, facets final: 33, pending: 51548, eq: 3423, out: 8052, in: 3639, pool: 144
I  423.17] Elapsed: 7:03, vertices: 66, facets final: 36, pending: 57203, eq: 3860, out: 6492, in: 12150, pool: 145
I  430.81] Elapsed: 7:11, vertices: 67, facets final: 37, pending: 56036, eq: 4356, out: 7862, in: 6696, pool: 148
I  437.02] Elapsed: 7:17, vertices: 68, facets final: 37, pending: 56871, eq: 7007, out: 7350, in: 8185, pool: 147
I  444.59] Elapsed: 7:25, vertices: 69, facets final: 37, pending: 60897, eq: 3851, out: 7325, in: 11351, pool: 147
I  452.41] Elapsed: 7:32, vertices: 70, facets final: 37, pending: 57519, eq: 5009, out: 8711, in: 5333, pool: 147
I  458.00] Elapsed: 7:38, vertices: 71, facets final: 37, pending: 52548, eq: 2688, out: 5815, in: 844, pool: 147
I  463.97] Elapsed: 7:44, vertices: 72, facets final: 38, pending: 51192, eq: 2439, out: 6945, in: 5590, pool: 147
I  472.25] Elapsed: 7:52, vertices: 74, facets final: 38, pending: 49429, eq: 2388, out: 4695, in: 6650, pool: 148
I  479.37] Elapsed: 7:59, vertices: 76, facets final: 38, pending: 48659, eq: 5156, out: 4190, in: 2871, pool: 149
I  485.37] Elapsed: 8:05, vertices: 78, facets final: 38, pending: 45426, eq: 2696, out: 3664, in: 2827, pool: 148
I  490.46] Elapsed: 8:10, vertices: 79, facets final: 38, pending: 64252, eq: 879, out: 3639, in: 22465, pool: 149
I  504.61] Elapsed: 8:25, vertices: 80, facets final: 38, pending: 64131, eq: 3039, out: 12209, in: 12088
I  513.25] Elapsed: 8:33, vertices: 81, facets final: 38, pending: 64804, eq: 4058, out: 6177, in: 6850, pool: 149
I  518.36] Elapsed: 8:38, vertices: 82, facets final: 39, pending: 61729, eq: 4402, out: 5123, in: 2049, pool: 149
I  526.85] Elapsed: 8:47, vertices: 83, facets final: 39, pending: 91405, eq: 2815, out: 4750, in: 34426, pool: 148
I  554.83] Elapsed: 9:15, vertices: 84, facets final: 39, pending: 84936, eq: 9341, out: 19479, in: 13010, pool: 148
I  573.96] Elapsed: 9:34, vertices: 85, facets final: 39, pending: 97175, eq: 5936, out: 11616, in: 23855, pool: 148
I  601.32] Elapsed: 10:01, vertices: 86, facets final: 39, pending: 100025, eq: 6609, out: 14322, in: 17172, pool: 148
I  625.90] Elapsed: 10:26, vertices: 87, facets final: 39, pending: 104288, eq: 6576, out: 13976, in: 18239, pool: 148
I  647.44] Elapsed: 10:47, vertices: 88, facets final: 39, pending: 101808, eq: 6016, out: 11392, in: 8912, pool: 147
