C maximal rule for r=a:bc;s=a:bdr; ars,brs,crs,drs
I   11.04] Elapsed: 11.04, vertices: 43, facets final: 22, pending: 48293, pool: 33
I   21.06] Elapsed: 21.06, vertices: 47, facets final: 23, pending: 62276, pool: 42
I   33.57] Elapsed: 33.57, vertices: 50, facets final: 23, pending: 71597, pool: 48
I   44.68] Elapsed: 44.68, vertices: 53, facets final: 25, pending: 70541, pool: 50
I   55.29] Elapsed: 55.29, vertices: 56, facets final: 27, pending: 75173, pool: 49
I   66.72] Elapsed: 1:07, vertices: 60, facets final: 27, pending: 69108, pool: 50
I   78.56] Elapsed: 1:19, vertices: 65, facets final: 27, pending: 59641, pool: 50
I   88.82] Elapsed: 1:29, vertices: 70, facets final: 27, pending: 62307, pool: 49
I  100.13] Elapsed: 1:40, vertices: 76, facets final: 28, pending: 62673, pool: 48
I  110.93] Elapsed: 1:51, vertices: 82, facets final: 30, pending: 54127, pool: 50
I  122.83] Elapsed: 2:03, vertices: 91, facets final: 30, pending: 39615, pool: 49
I  127.44] recalculating facets...
I  132.99] Elapsed: 2:13, vertices: 117, facets final: 37, pending: 24059, pool: 50
I  148.79] Elapsed: 2:29, vertices: 165, facets final: 93, pending: 39872, pool: 50
I  161.10] Elapsed: 2:41, vertices: 167, facets final: 94, pending: 61771, pool: 50
I  184.57] Elapsed: 3:05, vertices: 169, facets final: 94, pending: 85364, pool: 50
I  201.56] Elapsed: 3:22, vertices: 170, facets final: 94, pending: 100971, pool: 50
I  221.20] Elapsed: 3:41, vertices: 171, facets final: 94, pending: 117155, pool: 50
I  248.78] Elapsed: 4:09, vertices: 172, facets final: 94, pending: 89287, pool: 50
I  261.63] Elapsed: 4:22, vertices: 173, facets final: 94, pending: 88645, pool: 50
I  274.48] Elapsed: 4:34, vertices: 175, facets final: 94, pending: 93174, pool: 50
I  288.73] Elapsed: 4:49, vertices: 178, facets final: 94, pending: 102754, pool: 50
I  302.05] Elapsed: 5:02, vertices: 179, facets final: 94, pending: 101581, pool: 50
I  325.38] Elapsed: 5:25, vertices: 180, facets final: 95, pending: 109532, pool: 50
I  342.43] Elapsed: 5:42, vertices: 183, facets final: 96, pending: 104154, pool: 50
I  352.85] Elapsed: 5:53, vertices: 184, facets final: 96, pending: 104148, pool: 50
I  363.87] Elapsed: 6:04, vertices: 187, facets final: 97, pending: 110794, pool: 50
I  387.53] Elapsed: 6:28, vertices: 188, facets final: 97, pending: 136230, pool: 50
I  403.11] Elapsed: 6:43, vertices: 189, facets final: 97, pending: 143320, pool: 50
I  432.35] Elapsed: 7:12, vertices: 190, facets final: 97, pending: 129373, pool: 50
I  461.09] Elapsed: 7:41, vertices: 191, facets final: 97, pending: 175971, pool: 50
