C all bvau, ing=(1,0,0,0,0,0,0,0,0,0,0), oth=(.,.,.,.,.,.,.,.,.,.,0,0)
I    5.99] Elapsed: 5.99, vertices: 15, facets final: 7, pending: 65739, pool: 64
I   14.52] Elapsed: 14.52, vertices: 17, facets final: 7, pending: 96498, pool: 65
I   21.17] Elapsed: 21.17, vertices: 18, facets final: 7, pending: 121780, pool: 65
I   30.74] Elapsed: 30.74, vertices: 19, facets final: 7, pending: 132277, pool: 66
I   42.27] Elapsed: 42.27, vertices: 20, facets final: 7, pending: 147877, pool: 68
I   56.26] Elapsed: 56.26, vertices: 21, facets final: 7, pending: 155254, pool: 70
I   71.48] Elapsed: 1:11, vertices: 22, facets final: 8, pending: 171838, pool: 80
I   89.40] Elapsed: 1:29, vertices: 23, facets final: 8, pending: 176407, pool: 85
I  108.91] Elapsed: 1:49, vertices: 24, facets final: 9, pending: 192938, pool: 84
I  132.03] Elapsed: 2:12, vertices: 25, facets final: 9, pending: 210097, pool: 89
I  159.74] Elapsed: 2:40, vertices: 26, facets final: 9, pending: 238726, pool: 90
I  193.89] Elapsed: 3:14, vertices: 27, facets final: 9, pending: 297070, pool: 93
I  245.21] Elapsed: 4:05, vertices: 28, facets final: 9, pending: 292489, pool: 96
I  296.82] Elapsed: 4:57, vertices: 29, facets final: 9, pending: 288845, pool: 95
I  342.62] Elapsed: 5:43, vertices: 30, facets final: 9, pending: 299605, pool: 95
I  393.66] Elapsed: 6:34, vertices: 31, facets final: 9, pending: 291728, pool: 96
I  443.30] Elapsed: 7:23, vertices: 32, facets final: 9, pending: 298160, pool: 97
I  496.31] Elapsed: 8:16, vertices: 33, facets final: 10, pending: 303581, pool: 97
I  551.86] Elapsed: 9:12, vertices: 34, facets final: 10, pending: 316647, pool: 96
I  607.79] Elapsed: 10:08, vertices: 35, facets final: 10, pending: 311990, pool: 96
I  658.93] Elapsed: 10:59, vertices: 36, facets final: 10, pending: 316655, pool: 97
I  716.55] Elapsed: 11:57, vertices: 37, facets final: 10, pending: 369625, pool: 97
I  800.22] Elapsed: 13:20, vertices: 38, facets final: 10, pending: 394330, pool: 98
I  886.42] Elapsed: 14:46, vertices: 39, facets final: 10, pending: 403043, pool: 97
I  980.05] Elapsed: 16:20, vertices: 40, facets final: 10, pending: 435011, pool: 96
I 1071.20] Elapsed: 17:51, vertices: 41, facets final: 10, pending: 448585, pool: 96
I 1171.90] Elapsed: 19:32, vertices: 42, facets final: 10, pending: 438969, pool: 97
I 1269.36] Elapsed: 21:09, vertices: 43, facets final: 10, pending: 446150, pool: 98
I 1363.95] Elapsed: 22:44, vertices: 44, facets final: 10, pending: 444157, pool: 97
I 1471.85] Elapsed: 24:32, vertices: 45, facets final: 10, pending: 462662, pool: 98
I 1570.70] Elapsed: 26:11, vertices: 46, facets final: 10, pending: 454038, pool: 100
I 1661.05] Elapsed: 27:41, vertices: 47, facets final: 10, pending: 435495, pool: 100
I 1750.63] Elapsed: 29:11, vertices: 48, facets final: 10, pending: 451547, pool: 99
I 1843.79] Elapsed: 30:44, vertices: 49, facets final: 10, pending: 475222, pool: 99
I 1949.65] Elapsed: 32:30, vertices: 50, facets final: 10, pending: 467536, pool: 98
I 2045.40] Elapsed: 34:05, vertices: 51, facets final: 10, pending: 471579, pool: 99
I 2144.92] Elapsed: 35:45, vertices: 52, facets final: 10, pending: 488554, pool: 100
I 2244.56] Elapsed: 37:25, vertices: 53, facets final: 10, pending: 486472, pool: 99
I 2340.12] Elapsed: 39:00, vertices: 54, facets final: 10, pending: 499788, pool: 99
I 2432.05] Elapsed: 40:32, vertices: 55, facets final: 10, pending: 498954, pool: 99
I 2522.91] Elapsed: 42:03, vertices: 56, facets final: 10, pending: 488446, pool: 100
I 2609.97] Elapsed: 43:30, vertices: 57, facets final: 10, pending: 484632, pool: 99
I 2693.29] Elapsed: 44:53, vertices: 58, facets final: 10, pending: 482349, pool: 99
I 2776.24] Elapsed: 46:16, vertices: 59, facets final: 10, pending: 479665, pool: 99
I 2852.11] Elapsed: 47:32, vertices: 60, facets final: 11, pending: 479731, pool: 98
I 2928.82] Elapsed: 48:49, vertices: 61, facets final: 11, pending: 478124, pool: 97
I 3005.78] Elapsed: 50:06, vertices: 62, facets final: 11, pending: 471935, pool: 96
I 3100.91] Elapsed: 51:41, vertices: 63, facets final: 12, pending: 460026, pool: 97
I 3166.80] Elapsed: 52:47, vertices: 64, facets final: 12, pending: 469884, pool: 97
I 3231.72] Elapsed: 53:52, vertices: 65, facets final: 12, pending: 473552, pool: 100
