C all abuv, ing=(1,0,0,0,0,0,0,0,0,0,0), oth=(.,.,.,.,.,.,.,.,.,.,0,0)
I    5.26] Elapsed: 5.26, vertices: 21, facets final: 43, pending: 52770, pool: 39
I   10.28] Elapsed: 10.28, vertices: 24, facets final: 57, pending: 66676, pool: 52
I   16.00] Elapsed: 16.00, vertices: 27, facets final: 64, pending: 71312, pool: 60
I   22.26] Elapsed: 22.26, vertices: 29, facets final: 67, pending: 82866, pool: 59
I   28.31] Elapsed: 28.31, vertices: 31, facets final: 72, pending: 81800, pool: 61
I   33.42] Elapsed: 33.42, vertices: 33, facets final: 76, pending: 80722, pool: 62
I   38.42] Elapsed: 38.42, vertices: 35, facets final: 84, pending: 95137, pool: 63
I   45.65] Elapsed: 45.65, vertices: 37, facets final: 88, pending: 96223, pool: 65
I   52.85] Elapsed: 52.85, vertices: 39, facets final: 91, pending: 92120, pool: 67
I   58.88] Elapsed: 58.88, vertices: 41, facets final: 103, pending: 91451, pool: 71
I   65.13] Elapsed: 1:05, vertices: 43, facets final: 108, pending: 106978, pool: 70
I   72.60] Elapsed: 1:13, vertices: 45, facets final: 117, pending: 96246, pool: 68
I   78.83] Elapsed: 1:19, vertices: 47, facets final: 123, pending: 100620, pool: 68
I   84.88] Elapsed: 1:25, vertices: 49, facets final: 134, pending: 97374, pool: 69
I   91.99] Elapsed: 1:32, vertices: 52, facets final: 144, pending: 91393, pool: 68
I  115.37] Elapsed: 1:55, vertices: 54, facets final: 154, pending: 164945, pool: 69
I  135.69] Elapsed: 2:16, vertices: 55, facets final: 157, pending: 175683, pool: 71
I  158.03] Elapsed: 2:38, vertices: 56, facets final: 159, pending: 209231, pool: 77
I  190.32] Elapsed: 3:10, vertices: 57, facets final: 162, pending: 298212, pool: 78
I  270.81] Elapsed: 4:31, vertices: 58, facets final: 166, pending: 339871, pool: 85
I  376.39] Elapsed: 6:16, vertices: 59, facets final: 167, pending: 389639, pool: 90
I  478.98] Elapsed: 7:59, vertices: 60, facets final: 170, pending: 383566, pool: 93
I  592.59] Elapsed: 9:53, vertices: 61, facets final: 173, pending: 366070, pool: 94
I  690.13] Elapsed: 11:30, vertices: 62, facets final: 173, pending: 439856, pool: 94
I  824.95] Elapsed: 13:45, vertices: 63, facets final: 173, pending: 500935, pool: 95
I  980.74] Elapsed: 16:21, vertices: 64, facets final: 174, pending: 538206, pool: 94
I 1144.88] Elapsed: 19:05, vertices: 65, facets final: 174, pending: 572655, pool: 97
I 1327.86] Elapsed: 22:08, vertices: 66, facets final: 174, pending: 575035, pool: 97
I 1468.89] Elapsed: 24:29, vertices: 67, facets final: 174, pending: 529086, pool: 97
I 1606.95] Elapsed: 26:47, vertices: 68, facets final: 174, pending: 535593, pool: 98
I 1751.77] Elapsed: 29:12, vertices: 69, facets final: 175, pending: 533317, pool: 99
I 1883.75] Elapsed: 31:24, vertices: 70, facets final: 175, pending: 577017, pool: 98
I 2032.79] Elapsed: 33:53, vertices: 71, facets final: 177, pending: 590378, pool: 99
I 2180.24] Elapsed: 36:20, vertices: 72, facets final: 177, pending: 606117, pool: 98
I 2324.40] Elapsed: 38:44, vertices: 73, facets final: 177, pending: 585025, pool: 98
I 2482.85] Elapsed: 41:23, vertices: 74, facets final: 177, pending: 629366, pool: 97
I 2647.67] Elapsed: 44:08, vertices: 75, facets final: 177, pending: 636396, pool: 97
I 2802.77] Elapsed: 46:43, vertices: 76, facets final: 177, pending: 604000, pool: 97
I 2953.15] Elapsed: 49:13, vertices: 77, facets final: 177, pending: 623831, pool: 96
I 3130.81] Elapsed: 52:11, vertices: 78, facets final: 177, pending: 667057, pool: 95
I 3312.01] Elapsed: 55:12, vertices: 79, facets final: 178, pending: 646752, pool: 98
I 3445.90] Elapsed: 57:26, vertices: 80, facets final: 178, pending: 609692, pool: 99
I 3572.68] Elapsed: 59:33, vertices: 81, facets final: 179, pending: 611370, pool: 99
I 3718.40] Elapsed: 1:01:58, vertices: 82, facets final: 179, pending: 644815, pool: 99
I 3838.82] Elapsed: 1:03:59, vertices: 83, facets final: 180, pending: 624280, pool: 99
I 3946.68] Elapsed: 1:05:47, vertices: 84, facets final: 180, pending: 591090, pool: 99
I 4071.02] Elapsed: 1:07:51, vertices: 85, facets final: 181, pending: 585090, pool: 98
I 4173.75] Elapsed: 1:09:34, vertices: 86, facets final: 181, pending: 577378, pool: 98
I 4318.07] Elapsed: 1:11:58, vertices: 87, facets final: 181, pending: 606686, pool: 99
I 4448.35] Elapsed: 1:14:08, vertices: 88, facets final: 181, pending: 622175, pool: 98
I 4561.50] Elapsed: 1:16:02, vertices: 89, facets final: 183, pending: 626989, pool: 97
I 4668.13] Elapsed: 1:17:48, vertices: 90, facets final: 183, pending: 626261, pool: 96
I 4809.01] Elapsed: 1:20:09, vertices: 91, facets final: 184, pending: 648902, pool: 95
I 4925.48] Elapsed: 1:22:05, vertices: 92, facets final: 185, pending: 636764, pool: 95
I 5031.61] Elapsed: 1:23:52, vertices: 93, facets final: 185, pending: 646154, pool: 94
I 5175.21] Elapsed: 1:26:15, vertices: 94, facets final: 188, pending: 664368, pool: 96
I 5305.62] Elapsed: 1:28:26, vertices: 95, facets final: 188, pending: 689878, pool: 95
I 5430.52] Elapsed: 1:30:31, vertices: 96, facets final: 188, pending: 665267, pool: 95
I 5583.69] Elapsed: 1:33:04, vertices: 97, facets final: 189, pending: 654463, pool: 97
I 5705.44] Elapsed: 1:35:05, vertices: 98, facets final: 189, pending: 633368, pool: 97
I 5811.75] Elapsed: 1:36:52, vertices: 99, facets final: 189, pending: 610451, pool: 97
I 5913.13] Elapsed: 1:38:33, vertices: 100, facets final: 190, pending: 586314, pool: 97
I 5919.14] Elapsed: 1:38:39, vertices: 100, facets final: 191, pending: 586313
I 6015.00] Elapsed: 1:40:15, vertices: 101, facets final: 192, pending: 565896, pool: 96
I 6116.82] Elapsed: 1:41:57, vertices: 102, facets final: 194, pending: 572156, pool: 98
